epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,3922.01,1.2589,0.70743,1.02487,0.78898,0.7212,0.77893,0.43331,1.46782,0.80834,1.14858,0.000187092,0.000187092,0.000187092
86,3966.7,1.2551,0.70318,1.02538,0.75495,0.71773,0.7557,0.43456,1.46921,0.81228,1.14946,0.000176094,0.000176094,0.000176094
87,4012.2,1.25828,0.70848,1.02727,0.75571,0.73055,0.76993,0.4348,1.46862,0.80315,1.15202,0.000165095,0.000165095,0.000165095
88,4057.18,1.25243,0.69785,1.02395,0.77158,0.73775,0.77932,0.44289,1.46711,0.80802,1.1471,0.000154096,0.000154096,0.000154096
89,4102.5,1.25309,0.70024,1.02338,0.72308,0.76284,0.76088,0.4381,1.46865,0.80059,1.15305,0.000143097,0.000143097,0.000143097
90,4147.72,1.25514,0.69854,1.02353,0.79164,0.72823,0.77412,0.44195,1.46773,0.80552,1.15238,0.000132098,0.000132098,0.000132098
91,4194.6,1.24576,0.67059,1.03313,0.78237,0.73098,0.7731,0.43317,1.48283,0.81732,1.16132,0.000121099,0.000121099,0.000121099
92,4239.63,1.22353,0.64562,1.02706,0.76577,0.7419,0.77391,0.43461,1.48723,0.81306,1.1614,0.0001101,0.0001101,0.0001101
93,4283.85,1.21761,0.64284,1.02635,0.78505,0.71639,0.7684,0.43417,1.48596,0.81255,1.16293,9.91012e-05,9.91012e-05,9.91012e-05
94,4328.12,1.21408,0.63726,1.02239,0.73572,0.76796,0.76233,0.4298,1.48295,0.80967,1.15881,8.81023e-05,8.81023e-05,8.81023e-05
95,4372.57,1.20448,0.63224,1.01781,0.7777,0.751,0.76754,0.43932,1.48238,0.81055,1.16029,7.71034e-05,7.71034e-05,7.71034e-05
96,4417.22,1.20481,0.63027,1.02115,0.79466,0.73154,0.77155,0.44227,1.48386,0.81054,1.16035,6.61045e-05,6.61045e-05,6.61045e-05
97,4462.42,1.19764,0.62406,1.01314,0.79173,0.7307,0.7684,0.43843,1.48551,0.81002,1.16416,5.51056e-05,5.51056e-05,5.51056e-05
98,4507.6,1.19403,0.61926,1.01463,0.78949,0.7304,0.77056,0.44064,1.4841,0.80779,1.16252,4.41067e-05,4.41067e-05,4.41067e-05
99,4553.14,1.1896,0.61875,1.01236,0.77879,0.75126,0.76354,0.44038,1.48288,0.80675,1.1631,3.31078e-05,3.31078e-05,3.31078e-05
100,4598.44,1.19373,0.61312,1.01499,0.78416,0.74308,0.77169,0.44668,1.48467,0.80809,1.16417,2.21089e-05,2.21089e-05,2.21089e-05
